Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,SpatialCondition,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,VowelLocation
68,383.0225,1,936,1551,2975,4263,505,-8.0,200,1,1,385.9653,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,left
69,390.9355,0,936,1551,2975,4263,507,-6.0,200,1,1,391.9142,1,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
70,396.2275,1,437,2761,2975,4263,511,-13.0,200,0,0,399.0183,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,left
71,402.9512,1,437,2761,2975,4263,504,-13.0,200,0,0,405.1377,1,1,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,right
72,409.6607,0,936,1551,2975,4263,506,-13.0,200,1,1,410.7664,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,left
73,412.9236,1,936,1551,2975,4263,508,-6.0,200,1,1,415.7568,1,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
74,420.1786,0,437,2761,2975,4263,504,-13.0,200,0,0,421.4461,1,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,left
75,424.9628,0,936,1551,2975,4263,507,-15.0,200,1,1,426.1283,1,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,right
76,429.1256,0,936,1551,2975,4263,511,-15.0,200,1,1,430.3478,1,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,left
77,434.6095,1,936,1551,2975,4263,505,-6.0,200,1,0,436.984,0,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
