SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
single_speaker,False,704,581,82.5284090909091,156
colocated,False,704,402,57.10227272727273,157
separated,False,704,426,60.51136363636363,157
single_speaker,False,704,555,78.83522727272727,157
colocated,False,704,403,57.24431818181818,158
separated,False,704,416,59.09090909090909,158
single_speaker,False,704,575,81.67613636363636,158
colocated,False,704,406,57.67045454545454,159
separated,False,704,425,60.36931818181818,159
single_speaker,False,704,558,79.26136363636364,159
colocated,False,704,411,58.38068181818182,160
separated,False,704,425,60.36931818181818,160
single_speaker,False,704,557,79.11931818181817,160
colocated,False,704,418,59.375,161
separated,False,704,448,63.63636363636363,161
single_speaker,False,704,546,77.55681818181817,161
colocated,False,704,398,56.53409090909091,162
separated,False,704,413,58.66477272727273,162
single_speaker,False,704,558,79.26136363636364,162
colocated,False,704,424,60.22727272727273,163
separated,False,704,431,61.22159090909091,163
single_speaker,False,704,565,80.25568181818183,163
colocated,False,704,414,58.80681818181818,164
separated,False,704,435,61.78977272727273,164
single_speaker,False,704,560,79.54545454545455,164
colocated,False,704,405,57.52840909090909,165
separated,False,704,425,60.36931818181818,165
single_speaker,False,704,547,77.69886363636364,165
colocated,False,704,410,58.23863636363637,166
separated,False,704,411,58.38068181818182,166
single_speaker,False,704,572,81.25,166
colocated,False,704,398,56.53409090909091,167
separated,False,704,438,62.21590909090909,167
single_speaker,False,704,569,80.82386363636364,167
colocated,False,704,403,57.24431818181818,168
separated,False,704,437,62.07386363636363,168
single_speaker,False,704,542,76.98863636363636,168
colocated,False,704,403,57.24431818181818,169
separated,False,704,458,65.05681818181817,169
single_speaker,False,704,576,81.81818181818183,169
colocated,False,704,418,59.375,170
separated,False,704,436,61.93181818181818,170
single_speaker,False,704,538,76.42045454545455,170
colocated,False,704,403,57.24431818181818,171
separated,False,704,428,60.79545454545454,171
single_speaker,False,704,575,81.67613636363636,171
colocated,False,704,413,58.66477272727273,172
separated,False,704,445,63.21022727272727,172
single_speaker,False,704,543,77.13068181818183,172
colocated,False,704,411,58.38068181818182,173
separated,False,704,429,60.9375,173
single_speaker,False,704,553,78.55113636363636,173
colocated,False,704,405,57.52840909090909,174
separated,False,704,436,61.93181818181818,174
single_speaker,False,704,557,79.11931818181817,174
colocated,False,704,401,56.96022727272727,175
separated,False,704,428,60.79545454545454,175
single_speaker,False,704,568,80.68181818181817,175
colocated,False,704,416,59.09090909090909,176
separated,False,704,427,60.65340909090909,176
single_speaker,False,704,543,77.13068181818183,176
colocated,False,704,419,59.51704545454546,177
separated,False,704,429,60.9375,177
single_speaker,False,704,557,79.11931818181817,177
colocated,False,704,411,58.38068181818182,178
separated,False,704,436,61.93181818181818,178
single_speaker,False,704,547,77.69886363636364,178
colocated,False,704,424,60.22727272727273,179
separated,False,704,405,57.52840909090909,179
single_speaker,False,704,539,76.5625,179
colocated,False,704,421,59.80113636363637,180
separated,False,704,449,63.77840909090909,180
single_speaker,False,704,562,79.82954545454545,180
colocated,False,704,411,58.38068181818182,181
separated,False,704,424,60.22727272727273,181
single_speaker,False,704,539,76.5625,181
colocated,False,704,411,58.38068181818182,182
separated,False,704,446,63.35227272727273,182
single_speaker,False,704,563,79.9715909090909,182
colocated,False,704,405,57.52840909090909,183
separated,False,704,443,62.92613636363637,183
single_speaker,False,704,552,78.4090909090909,183
colocated,False,704,419,59.51704545454546,184
separated,False,704,426,60.51136363636363,184
single_speaker,False,704,544,77.27272727272727,184
colocated,False,704,433,61.50568181818182,185
separated,False,704,429,60.9375,185
single_speaker,False,704,546,77.55681818181817,185
colocated,False,704,420,59.65909090909091,186
separated,False,704,419,59.51704545454546,186
single_speaker,False,704,570,80.9659090909091,186
colocated,False,704,407,57.8125,187
separated,False,704,452,64.20454545454545,187
single_speaker,False,704,574,81.5340909090909,187
colocated,False,704,394,55.96590909090909,188
separated,False,704,432,61.36363636363637,188
single_speaker,False,704,557,79.11931818181817,188
colocated,False,704,396,56.25,189
separated,False,704,457,64.91477272727273,189
single_speaker,False,704,557,79.11931818181817,189
colocated,False,704,433,61.50568181818182,190
separated,False,704,429,60.9375,190
single_speaker,False,704,575,81.67613636363636,190
colocated,False,704,426,60.51136363636363,191
separated,False,704,439,62.35795454545454,191
single_speaker,False,704,557,79.11931818181817,191
colocated,False,704,407,57.8125,192
separated,False,704,429,60.9375,192
single_speaker,False,704,551,78.26704545454545,192
colocated,False,704,402,57.10227272727273,193
separated,False,704,448,63.63636363636363,193
single_speaker,False,704,562,79.82954545454545,193
colocated,False,704,398,56.53409090909091,194
separated,False,704,430,61.07954545454546,194
single_speaker,False,704,567,80.53977272727273,194
colocated,False,704,407,57.8125,195
separated,False,704,417,59.23295454545454,195
single_speaker,False,704,559,79.4034090909091,195
colocated,False,704,413,58.66477272727273,196
separated,False,704,437,62.07386363636363,196
single_speaker,False,704,558,79.26136363636364,196
colocated,False,704,406,57.67045454545454,197
separated,False,704,449,63.77840909090909,197
single_speaker,False,704,572,81.25,197
colocated,False,704,434,61.64772727272727,198
separated,False,704,420,59.65909090909091,198
single_speaker,False,704,559,79.4034090909091,198
colocated,False,704,420,59.65909090909091,199
separated,False,704,462,65.625,199
single_speaker,False,704,543,77.13068181818183,199
colocated,False,704,428,60.79545454545454,200
separated,False,704,410,58.23863636363637,200
single_speaker,False,704,574,81.5340909090909,200
colocated,False,704,396,56.25,201
separated,False,704,426,60.51136363636363,201
single_speaker,False,704,542,76.98863636363636,201
colocated,False,704,430,61.07954545454546,202
separated,False,704,447,63.49431818181818,202
single_speaker,False,704,550,78.125,202
colocated,False,704,419,59.51704545454546,203
separated,False,704,421,59.80113636363637,203
single_speaker,False,704,572,81.25,203
colocated,False,704,407,57.8125,204
separated,False,704,434,61.64772727272727,204
single_speaker,False,704,571,81.10795454545455,204
colocated,False,704,404,57.38636363636363,205
separated,False,704,439,62.35795454545454,205
single_speaker,False,704,570,80.9659090909091,205
colocated,False,704,407,57.8125,206
separated,False,704,427,60.65340909090909,206
single_speaker,False,704,587,83.38068181818183,206
colocated,False,704,422,59.94318181818182,207
separated,False,704,420,59.65909090909091,207
single_speaker,False,704,552,78.4090909090909,207
colocated,False,704,417,59.23295454545454,208
separated,False,704,416,59.09090909090909,208
single_speaker,False,704,549,77.98295454545455,208
colocated,False,704,419,59.51704545454546,209
separated,False,704,417,59.23295454545454,209
single_speaker,False,704,554,78.69318181818183,209
colocated,False,704,429,60.9375,210
separated,False,704,432,61.36363636363637,210
single_speaker,False,704,553,78.55113636363636,210
colocated,False,704,436,61.93181818181818,211
separated,False,704,418,59.375,211
single_speaker,False,704,553,78.55113636363636,211
colocated,False,704,405,57.52840909090909,212
separated,False,704,415,58.94886363636363,212
single_speaker,False,704,557,79.11931818181817,212
colocated,False,704,406,57.67045454545454,213
separated,False,704,431,61.22159090909091,213
single_speaker,False,704,572,81.25,213
colocated,False,704,422,59.94318181818182,214
separated,False,704,419,59.51704545454546,214
single_speaker,False,704,569,80.82386363636364,214
colocated,False,704,427,60.65340909090909,215
separated,False,704,435,61.78977272727273,215
single_speaker,False,704,552,78.4090909090909,215
colocated,False,704,409,58.09659090909091,216
separated,False,704,442,62.78409090909091,216
single_speaker,False,704,562,79.82954545454545,216
colocated,False,704,415,58.94886363636363,217
separated,False,704,457,64.91477272727273,217
single_speaker,False,704,541,76.8465909090909,217
colocated,False,704,422,59.94318181818182,218
separated,False,704,434,61.64772727272727,218
single_speaker,False,704,572,81.25,218
colocated,False,704,397,56.39204545454546,219
separated,False,704,430,61.07954545454546,219
single_speaker,False,704,562,79.82954545454545,219
colocated,False,704,413,58.66477272727273,220
separated,False,704,457,64.91477272727273,220
single_speaker,False,704,548,77.8409090909091,220
colocated,False,704,436,61.93181818181818,221
separated,False,704,434,61.64772727272727,221
single_speaker,False,704,557,79.11931818181817,221
colocated,False,704,425,60.36931818181818,222
separated,False,704,419,59.51704545454546,222
single_speaker,False,704,566,80.39772727272727,222
colocated,False,704,407,57.8125,223
separated,False,704,450,63.92045454545454,223
single_speaker,False,704,541,76.8465909090909,223
colocated,False,704,412,58.52272727272727,224
separated,False,704,451,64.0625,224
single_speaker,False,704,553,78.55113636363636,224
