Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,Condition,SessionDate,originalFile,LeftTemperature,RightTemperature
84,0,2036.0,0,4,-30,250,901,9.0,4,2036.92,1,736148.687733,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
85,0,2044.338,1,2,-90,250,651,0.0,2,2045.338,1,736148.68783,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
86,0,2054.203,0,4,-30,250,501,4.5,3,2057.909,0,736148.687976,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
87,0,2074.362,0,4,-30,250,551,4.5,4,2075.27,1,736148.688176,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
88,0,2085.542,0,3,-60,250,801,0.0,3,2086.433,1,736148.688305,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
89,0,2096.202,0,7,60,250,851,4.5,7,2097.316,1,736148.688432,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
90,0,2104.947,0,5,0,250,701,0.0,4,2105.616,0,736148.688529,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
91,0,2113.717,0,4,-30,250,1001,4.5,3,2114.418,0,736148.688631,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
92,0,2127.717,0,4,-30,250,951,0.0,4,2128.386,1,736148.688793,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
93,0,2136.611,0,8,90,250,851,4.5,8,2138.075,1,736148.688903,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
94,0,2144.544,0,7,60,250,751,0.0,7,2145.411,1,736148.688988,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
95,0,2152.679,0,6,30,250,701,4.5,6,2154.001,1,736148.689088,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
96,0,2172.512,0,8,90,250,801,9.0,8,2173.349,1,736148.689312,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
97,0,2181.384,0,2,-90,250,901,0.0,4,2182.249,0,736148.689415,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
98,0,2188.955,0,6,30,250,601,4.5,6,2189.923,1,736148.689504,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
99,0,2198.632,0,7,60,250,501,4.5,6,2199.739,0,736148.689617,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
100,0,2207.444,0,8,90,250,551,9.0,8,2208.418,1,736148.689717,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
101,0,2215.323,0,5,0,250,951,4.5,5,2216.288,1,736148.689808,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
