Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
171	0	2036.746	0	730	2058	2857	4205	701	0.0	200	1	2	2037.509	1	10	0	-150	100	
172	0	2052.087	0	460	1105	2857	4205	801	3.3	200	0	8	2052.900	1	10	0	-150	100	
173	0	2063.147	0	460	1105	2857	4205	501	10.0	200	0	8	2064.069	1	10	1	-150	100	
174	0	2075.977	0	730	2058	2857	4205	601	6.7	200	1	2	2076.668	1	10	1	-150	100	
175	0	2088.793	0	460	1105	2857	4205	901	0.0	200	0	2	2090.527	0	10	0	-150	100	
176	1	2107.965	0	460	1105	2857	4205	901	0.0	200	0	2	2108.634	0	10	0	-150	100	
177	1	2115.720	0	460	1105	2857	4205	901	0.0	200	0	8	2116.694	1	10	0	-150	100	
178	0	2127.422	0	460	1105	2857	4205	601	6.7	200	0	8	2128.264	1	10	0	-150	100	
179	0	2135.255	0	730	2058	2857	4205	801	3.3	200	1	8	2136.320	0	10	0	-150	100	
180	1	2144.002	0	730	2058	2857	4205	801	3.3	200	1	2	2144.761	1	10	0	-150	100	
181	0	2155.770	0	730	2058	2857	4205	701	-3.3	200	1	2	2156.844	1	10	1	-150	100	
182	0	2173.726	0	730	2058	2857	4205	1001	-6.7	200	1	2	2174.620	1	10	0	-150	100	
183	0	2185.410	0	730	2058	2857	4205	901	10.0	200	1	2	2186.191	1	10	1	-150	100	
184	0	2206.759	0	460	1105	2857	4205	1001	10.0	200	0	2	2207.483	0	10	1	-150	100	
185	1	2213.112	0	460	1105	2857	4205	1001	10.0	200	0	8	2214.060	1	10	0	-150	100	
186	0	2223.129	0	460	1105	2857	4205	701	-10.0	200	0	8	2223.928	1	10	1	-150	100	
187	0	2234.928	0	730	2058	2857	4205	601	0.0	200	1	2	2235.525	1	10	0	-150	100	
188	0	2248.016	0	730	2058	2857	4205	801	3.3	200	1	2	2248.933	1	10	1	-150	100	
189	0	2264.343	0	460	1105	2857	4205	601	-3.3	200	0	8	2265.144	1	10	1	-150	100	
190	0	2279.820	0	460	1105	2857	4205	901	6.7	200	0	8	2280.711	1	10	0	-150	100	
191	0	2290.424	0	460	1105	2857	4205	701	-6.7	200	0	8	2291.127	1	10	1	-150	100	
192	0	2312.841	0	460	1105	2857	4205	1001	3.3	200	0	8	2313.864	1	10	0	-150	100	
193	0	2322.819	0	730	2058	2857	4205	801	6.7	200	1	2	2323.574	1	10	0	-150	100	
194	0	2331.504	0	730	2058	2857	4205	601	-3.3	200	1	2	2332.535	1	10	1	-150	100	
195	0	2352.083	0	460	1105	2857	4205	501	-10.0	200	0	8	2353.106	1	10	1	-150	100	
196	0	2368.370	0	460	1105	2857	4205	701	0.0	200	0	2	2369.368	0	10	1	-150	100	
197	1	2376.746	0	460	1105	2857	4205	701	0.0	200	0	8	2377.677	1	10	0	-150	100	
198	0	2391.230	0	730	2058	2857	4205	1001	-6.7	200	1	2	2391.852	1	10	1	-150	100	
199	0	2404.438	0	730	2058	2857	4205	901	-3.3	200	1	2	2405.120	1	10	1	-150	100	
200	0	2414.691	0	460	1105	2857	4205	501	3.3	200	0	8	2415.415	1	10	0	-150	100	
201	0	2425.587	0	730	2058	2857	4205	601	0.0	200	1	2	2426.540	1	10	0	-150	100	
202	0	2449.149	0	460	1105	2857	4205	901	6.7	200	0	8	2449.963	1	10	0	-150	100	
203	0	2459.856	0	730	2058	2857	4205	801	10.0	200	1	8	2460.929	0	10	0	-150	100	
204	1	2467.830	0	730	2058	2857	4205	801	10.0	200	1	2	2468.661	1	10	0	-150	100	
205	0	2476.249	0	460	1105	2857	4205	701	0.0	200	0	8	2477.009	1	10	1	-150	100	
206	0	2492.862	0	730	2058	2857	4205	801	-3.3	200	1	2	2493.563	1	10	0	-150	100	
207	0	2508.421	0	730	2058	2857	4205	701	-10.0	200	1	2	2509.050	1	10	1	-150	100	
208	0	2516.855	0	730	2058	2857	4205	501	3.3	200	1	2	2517.552	1	10	1	-150	100	
209	0	2525.726	0	730	2058	2857	4205	901	-6.7	200	1	8	2526.410	0	10	0	-150	100	
210	1	2533.401	0	730	2058	2857	4205	901	-6.7	200	1	2	2534.862	1	10	0	-150	100	
