Mask,treatment,nTrials,nCorrect,pCorrect,iteration
Clean,False,18,15,83.33333333333334,165
Clean,True,18,13,72.22222222222221,165
Restricted,False,18,13,72.22222222222221,165
Restricted,True,18,9,50.0,165
Clean,False,18,14,77.77777777777779,166
Clean,True,18,16,88.88888888888889,166
Restricted,False,18,9,50.0,166
Restricted,True,18,10,55.55555555555556,166
Clean,False,18,16,88.88888888888889,167
Clean,True,18,14,77.77777777777779,167
Restricted,False,18,12,66.66666666666666,167
Restricted,True,18,6,33.33333333333333,167
Clean,False,18,14,77.77777777777779,168
Clean,True,18,13,72.22222222222221,168
Restricted,False,18,13,72.22222222222221,168
Restricted,True,18,8,44.44444444444444,168
Clean,False,18,16,88.88888888888889,169
Clean,True,18,14,77.77777777777779,169
Restricted,False,18,16,88.88888888888889,169
Restricted,True,18,10,55.55555555555556,169
Clean,False,18,17,94.44444444444444,170
Clean,True,18,13,72.22222222222221,170
Restricted,False,18,17,94.44444444444444,170
Restricted,True,18,7,38.88888888888889,170
